Time,rot_x,rot_y,rot_z,a_x,a_y,a_z,hpa,stat
000008.3784,-2050.,15.000,-28.00,-22.66,5.6250,8.3750,,
000008.4733,,,,,,,1012.14,13.96
000008.5004,-2052.,34.000,-41.00,-17.66,-76.37,1.3750,,
000008.5693,,,,,,,1012.14,13.96
000008.6231,-2051.,30.000,-25.00,-13.66,-38.37,-5.625,,
000008.7066,,,,,,,1012.12,13.95
000008.7604,-2048.,42.000,-30.00,-0.660,3.6250,-8.625,,
000008.8439,,,,,,,1012.12,13.96
000008.9760,-2051.,31.000,-41.00,-10.66,28.625,-13.62,,
000009.0296,,,,,,,1012.11,13.96
000009.0834,-2051.,29.000,-36.00,8.3399,-63.37,6.3750,,
000009.1669,,,,,,,1012.09,13.96
000009.2207,-2050.,32.000,-20.00,7.3399,-42.37,15.375,,
000009.3041,,,,,,,1012.11,13.96
000009.3580,-2050.,47.000,-14.00,-10.66,-3.375,-11.62,,
000009.4414,,,,,,,1012.10,13.96
000009.4991,-2050.,34.000,-30.00,1.3399,26.625,27.375,,
000009.5787,,,,,,,1012.09,13.97
000009.6325,-2054.,31.000,-53.00,15.339,-45.37,9.3750,,
000009.7160,,,,,,,1012.11,13.98
000009.7698,-2047.,42.000,-26.00,-7.660,-7.375,15.375,,
000009.8533,,,,,,,1012.08,13.96
000009.9071,-2071.,98.000,-21.00,3.3399,-43.37,-34.62,,
000009.9933,,,,,,,1012.09,13.97
000010.0444,-2049.,16.000,-37.00,2.3399,45.625,-8.625,,
000010.1278,,,,,,,1012.11,13.97
000010.1817,-2046.,37.000,-31.00,-13.66,-58.37,28.375,,
000010.2651,,,,,,,1012.13,13.98
000010.3189,-2046.,37.000,-17.00,11.339,-63.37,15.375,,
000010.4024,,,,,,,1012.11,13.98
000010.4562,-2048.,33.000,-21.00,-30.66,-5.375,2.3750,,
000010.5424,,,,,,,1012.14,13.98
000010.5935,-2050.,-5.000,-33.00,-12.66,52.625,-8.625,,
000010.6769,,,,,,,1012.15,13.98
000010.7308,-2047.,40.000,-36.00,-3.660,-21.37,0.3750,,
000010.8142,,,,,,,1012.10,13.97
000010.8681,-2046.,29.000,-34.00,15.339,-56.37,9.3750,,
000010.9515,,,,,,,1012.11,13.98
000011.0053,-2054.,32.000,-18.00,-20.66,-47.37,-4.625,,
000011.0915,,,,,,,1012.12,13.98
000011.1426,-2057.,30.000,-17.00,10.339,30.625,-1.625,,
000011.2260,,,,,,,1012.12,13.99
000011.2799,-2049.,28.000,-41.00,0.3399,-0.375,-17.62,,
000011.3633,,,,,,,1012.11,13.98
000011.4792,-2057.,25.000,-30.00,22.339,-56.37,30.375,,
000011.5328,,,,,,,1012.14,13.99
000011.5867,-2051.,29.000,-16.00,0.3399,-32.37,4.3750,,
000011.6729,,,,,,,1012.10,13.99
000011.7240,-2050.,31.000,-17.00,20.339,6.6250,-22.62,,
000011.8074,,,,,,,1012.13,13.99
000011.8612,-2053.,30.000,-42.00,6.3399,-7.375,23.375,,
000011.9447,,,,,,,1012.13,13.99
000011.9985,-2053.,25.000,-21.00,8.3399,-88.37,-13.62,,
000012.0820,,,,,,,1012.14,13.99
000012.1358,-2050.,37.000,-19.00,10.339,-35.37,-2.625,,
000012.2220,,,,,,,1012.12,13.99
000012.2731,-2042.,39.000,-22.00,-5.660,11.625,-19.62,,
000012.3565,,,,,,,1012.12,13.99
000012.4103,-2052.,19.000,-22.00,6.3399,13.625,8.3750,,
000012.4938,,,,,,,1012.12,13.99
000012.5476,-2044.,17.000,-26.00,11.339,-56.37,10.375,,
000012.6311,,,,,,,1012.15,13.99
000012.6849,-2052.,22.000,-20.00,15.339,-50.37,6.3750,,
000012.7827,,,,,,,1012.15,14.00
000012.8224,-2048.,36.000,-25.00,29.339,5.6250,6.3750,,
000012.9056,,,,,,,1012.12,13.99
000012.9595,-2052.,28.000,-19.00,-16.66,51.625,-32.62,,
000013.0429,,,,,,,1012.15,14.01
000013.0968,-2058.,30.000,-38.00,30.339,-20.37,10.375,,
000013.1802,,,,,,,1012.12,14.00
000013.2379,-2044.,36.000,-45.00,-11.66,-56.37,41.375,,
000013.3175,,,,,,,1012.14,14.01
000013.3713,-2046.,38.000,-10.00,12.339,15.625,12.375,,
000013.4548,,,,,,,1012.15,14.02
000013.5086,-2049.,38.000,-41.00,-1.660,52.625,5.3750,,
000013.5920,,,,,,,1012.12,14.01
000013.6459,-2048.,25.000,-49.00,9.3399,-16.37,28.375,,
000013.7293,,,,,,,1012.12,14.01
000013.8509,-2053.,35.000,-24.00,-28.66,-69.37,7.3750,,
000013.9045,,,,,,,1012.10,14.01
000013.9583,-2051.,42.000,-12.00,3.3399,19.625,-28.62,,
000014.0417,,,,,,,1012.12,14.01
000014.0956,-2051.,22.000,-28.00,1.3399,7.6250,12.375,,
000014.1790,,,,,,,1012.09,14.02
000014.2329,-2049.,31.000,-40.00,-3.660,-31.37,5.3750,,
000014.3163,,,,,,,1012.10,14.02
000014.3740,-2044.,40.000,-26.00,-16.66,-36.37,-10.62,,
000014.4536,,,,,,,1012.11,14.01
000014.5074,-2047.,36.000,-25.00,8.3399,-27.37,2.3750,,
000014.5909,,,,,,,1012.09,14.01
000014.6447,-2044.,34.000,-33.00,-18.66,44.625,-26.62,,
000014.7282,,,,,,,1012.14,14.02
000014.7820,-2048.,29.000,-36.00,6.3399,-23.37,-19.62,,
000014.8682,,,,,,,1012.11,14.02
000014.9193,-2042.,34.000,-23.00,12.339,-15.37,16.375,,
000015.0027,,,,,,,1012.10,14.02
000015.0565,-2046.,37.000,-4.000,-0.660,0.6250,35.375,,
000015.1400,,,,,,,1012.09,14.01
000015.1938,-2046.,49.000,-27.00,-17.66,13.625,-42.62,,
000015.2773,,,,,,,1012.10,14.01
000015.3311,-2057.,27.000,-35.00,-13.66,-16.37,-41.62,,
000015.4173,,,,,,,1012.09,14.01
000015.4684,-2048.,21.000,-36.00,24.339,-22.37,19.375,,
000015.5518,,,,,,,1012.07,14.01
000015.6057,-2057.,45.000,-14.00,5.3399,-55.37,-5.625,,
000015.6891,,,,,,,1012.12,14.02
000015.7430,-2042.,36.000,-19.00,-26.66,21.625,-50.62,,
000015.8264,,,,,,,1012.10,14.02
000015.8802,-2055.,15.000,-37.00,18.339,16.625,-1.625,,
000015.9664,,,,,,,1012.10,14.02
000016.0175,-2043.,34.000,-49.00,11.339,-52.37,45.375,,
000016.1010,,,,,,,1012.08,14.02
000016.1548,-2049.,47.000,-8.000,6.3399,-51.37,2.3750,,
000016.2382,,,,,,,1012.09,14.02
000016.3492,-2055.,21.000,-29.00,-0.660,28.625,-48.62,,
000016.4028,,,,,,,1012.10,14.02
000016.4566,-2058.,20.000,-48.00,-4.660,40.625,30.375,,
000016.5428,,,,,,,1012.08,14.02
000016.6006,-2054.,37.000,-39.00,5.3399,-77.37,20.375,,
000016.6775,,,,,,,1012.10,14.02
000016.7312,-2049.,34.000,-25.00,-23.66,-77.37,-56.62,,
000016.8146,,,,,,,1012.12,14.02
000016.8685,-2042.,30.000,-23.00,19.339,19.625,19.375,,
000016.9519,,,,,,,1012.11,14.02
000017.0058,-2051.,37.000,-26.00,-19.66,50.625,45.375,,
000017.1036,,,,,,,1012.09,14.03
000017.1432,-2058.,40.000,-37.00,5.3399,-65.37,24.375,,
000017.2265,,,,,,,1012.12,14.03
000017.2803,-2055.,27.000,-16.00,-7.660,-101.3,-15.62,,
000017.3637,,,,,,,1012.11,14.04
000017.4176,-2045.,31.000,-10.00,31.339,26.625,22.375,,
000017.5010,,,,,,,1012.12,14.04
000017.5587,-2053.,42.000,-28.00,28.339,70.625,24.375,,
000017.6383,,,,,,,1012.10,14.02
000017.6921,-2052.,40.000,-40.00,-7.660,-18.37,-37.62,,
000017.7756,,,,,,,1012.11,14.03
000017.8294,-2055.,24.000,-27.00,9.3399,-42.37,53.375,,
000017.9129,,,,,,,1012.10,14.03
000017.9667,-2049.,41.000,2.0000,-19.66,-30.37,29.375,,
000018.0501,,,,,,,1012.12,14.05
000018.1079,-2050.,44.000,-36.00,9.3399,26.625,16.375,,
000018.1874,,,,,,,1012.11,14.03
000018.2413,-2051.,35.000,-51.00,15.339,-45.37,-66.62,,
000018.3247,,,,,,,1012.11,14.04
000018.3785,-2051.,32.000,-23.00,-2.660,-58.37,21.375,,
000018.4620,,,,,,,1012.15,14.04
000018.5158,-2043.,42.000,-17.00,11.339,-17.37,39.375,,
000018.5993,,,,,,,1012.15,14.04
000018.7198,-2043.,22.000,-34.00,-11.66,24.625,-47.62,,
000018.7733,,,,,,,1012.13,14.04
000018.8272,-2053.,16.000,-44.00,-8.660,-24.37,-6.625,,
000018.9106,,,,,,,1012.12,14.04
000018.9645,-2053.,31.000,-37.00,-21.66,-100.3,37.375,,
000019.0479,,,,,,,1012.16,14.04
000019.1018,-2046.,44.000,-22.00,21.339,20.625,13.375,,
000019.1880,,,,,,,1012.14,14.05
000019.2390,-2044.,39.000,-26.00,-36.66,13.625,-43.62,,
000019.3225,,,,,,,1012.15,14.04
000019.3763,-2048.,29.000,-34.00,13.339,-3.375,-28.62,,
000019.4597,,,,,,,1012.13,14.05
000019.5136,-2051.,30.000,-38.00,-5.660,-74.37,56.375,,
000019.5970,,,,,,,1012.12,14.04
000019.6509,-2050.,42.000,-13.00,-12.66,-66.37,-4.625,,
000019.7371,,,,,,,1012.11,14.05
000019.7882,-2045.,25.000,-32.00,-29.66,15.625,-49.62,,
000019.8716,,,,,,,1012.14,14.05
000019.9254,-2051.,23.000,-40.00,31.339,-1.375,-14.62,,
000020.0089,,,,,,,1012.13,14.05
000020.0627,-2049.,38.000,-25.00,19.339,-40.37,25.375,,
000020.1461,,,,,,,1012.12,14.04
000020.2000,-2059.,37.000,-17.00,0.3399,-46.37,4.3750,,
000020.2862,,,,,,,1012.11,14.04
000020.3373,-2052.,35.000,-17.00,-18.66,2.6250,-39.62,,
000020.4207,,,,,,,1012.12,14.04
000020.4745,-2051.,26.000,-35.00,19.339,38.625,3.3750,,
000020.5580,,,,,,,1012.14,14.05
000020.6118,-2052.,32.000,-55.00,0.3399,-61.37,-3.625,,
000020.6953,,,,,,,1012.11,14.05
000020.7491,-2052.,29.000,-22.00,16.339,-90.37,13.375,,
000020.8353,,,,,,,1012.10,14.05
000020.8864,-2048.,42.000,-19.00,14.339,15.625,-9.625,,
000020.9698,,,,,,,1012.13,14.05
000021.0236,-2047.,37.000,-25.00,-31.66,74.625,-8.625,,
000021.1071,,,,,,,1012.16,14.06
000021.2218,-2050.,24.000,-37.00,9.3399,-71.37,25.375,,
000021.2754,,,,,,,1012.13,14.05
000021.3292,-2045.,34.000,-21.00,11.339,-114.3,39.375,,
